signer,volume,volume_category
ArQ15XENhzwiCFg6qkZcAZV1M5xNPmcpTJDcc3kx8aaL,89,Other
B2F81NK2oYa3tYBnThmoB1H7epfSG7My37Bb7JmYjniH,89,Other
BG5CUuZUvBeqh2UKuQszfzeZ6h8ofpL8NHtrxzJNPDJ4,89,Other
BQyaM6qB1GpTZxWs2wwDfBeQtyR7i5W8AjbUsS5a4uHt,89,Other
BUFyF8EgU6vpAzJKgDTNLbbcsVdToq7nbNebLH72hLoA,89,Other
BZ6o7giGCfrhyNsacBGPWVTaDwLJjyzUZF2bFv9CG4Xt,89,Other
BjyNboayrg1dDp8TrG7a7SsmL9QjDY6JsMic2SJAuqRD,89,Other
BxWYD22Xp9YQVbdhTxqB5EA39c7T3BZX6UKDaeY966as,89,Other
C7AVf8xZib4sR9Rzv6QYf8h99H6y8UoCYv4NUxxizjy2,89,Other
CBzufEGhVm7PM85Zbq8w5EwCFwd68DVPaFMnVDSZvAox,89,Other
CDHLdKiCA7tvYP8bukUk78udo4WGhvSsDjZNTkX3yYwR,89,Other
CE1hu4L3zonUsCy8GDcnEk2gZzcNv3cmbyYNokYb6M6L,89,Other
CY7txG3eLpc5HAy91igFShKRjT1vdYDYAsoJJtYdtn2x,89,Other
CaaTDf5JfkzJVjS88KFnJNNca8z2Y1Wrk1D963ZCtD3a,89,Other
CvnrsDWaFxBzNsihsPDtQNbbySa2rpHQkdXDT3BLpHZd,89,Other
Cxrut4Df6RDmebyGSejokZzcASqMenPpgn9vCrjagFnL,89,Other
D7BZRVseLXRGDLrPjSDe35KgugLVKKKjTMg5H2ZujrJk,89,Other
D8axEzjX8JwGtkAAHG2ZfJs5TGW82d2LxMBT5P4J9rXY,89,Other
DTknX3RS2aoeeBKUvdjNrHiiD4Qmv1baBL5sCUwESArW,89,Other
DhVyLGWwdFeApgEzV8fHQ9tCJ6PyWEUxbv4Xbbvj3Wup,89,Other
DobFFk47ke3AypVA9xKv9dDHB3RSTKs3hrGJXnfF38cZ,89,Other
Dvwft4v3t8UER6sgf23BjSt8PaKgigbUyaBMVhC2Q6Rk,89,Other
E4QCSPGL9iabGSVnTmG65NawU5vSQt5gvhzPhk6xBqYo,89,Other
E8FDpD1sBg26VrQBgwVdQWaZnUwo9PvG4Tnoh7gRUi75,89,Other
EGHZQsGBy7dUZAc92bqmXhpog2SGfmQjgffTyVG3xR34,89,Other
ELsRwWKSECR1Zph4LPVfTXnKgHgifYYjByWNeSuvo46Z,89,Other
ETd3Qm2b6JshwZThAVCeyWMoK4jAgkAFd7mQ3k4Ttj3Z,89,Other
EXMH8sSpmx81qAwWx7u7YNnvMVqvzUhN2aL6hAa56Y9e,89,Other
ErcpMF8S6ESZE6DGBTDxyysv4WrXRi5K88S7vR17CwNk,89,Other
EvZJb8DSKVqaWjkVvJRP3YP44Sd1DSuraXiBLSd6s3MK,89,Other
ExhvPnbZjerPSSsQFF5wmSej9Yx1yzCg1nVcpUH394WP,89,Other
F3Q9NUEo8vjCuFPtU2M5ZXWiCKpFW6qLu3iP84eTfsnn,89,Other
FLURw5MuQGH5rq8JPwu7NPmrZia66ESEz1Wzayg8CTWY,89,Other
FYovyqvWtBwzmebb2PrjSHpgxrLKompaDBov9afQt5RM,89,Other
