signer,volume,rank,volume_category
12eCEAJXKf2Cq9ZHoMsbJ6W2GmxJDLfrmtaumSHkHBYC,463.10071818552404,3720163,Other
Ea7s2mh4fXbZxvyn6JaQRh5w36gwc1W7XGc9J66ERUC8,463.10052894229403,3720164,Other
F7Ld9GNtpiofCzuojN8tPCZp8gpL9YTbMTAC8Ybqc4pk,463.100472399718,3720165,Other
6BUW6GW5grwXBU6Lsg2ityuX4cmEAamqM1Zz3cWhdH1N,463.0998519964618,3720166,Other
Bdvco2vF6yZGBa9QRnvMhzhdo5B85eb5Zmp9nrp2hbu7,463.0998376860899,3720167,Other
CHUYHxHmYRKZssiiQKNRDbAmurXqfRC88ktcSLdpJm9A,463.09982975905683,3720168,Other
GdqfhtRfXD2UooiCjeD9wrwmuN9XbPMeV4UWHMgW2sSt,463.09949520313745,3720169,Other
633CphWQhjJx3XjvNYJJKkNLsxzwGo5mpRMUafUa5vBp,463.09881518057995,3720170,Other
2xHKm4AfgjjrTeQf9YHCrYzryh2VpLkabKrgffHP8TWJ,463.09730949077994,3720171,Other
Bh3L6aUBhC4W1ZcQ2raqCP6LidUXVVoQiDkACqV8SVp4,463.09722544857,3720172,Other
3MrQnpzCcby3h1dUMbuyCkycd4VbMH6cZLVfzrR77Qna,463.0968262801516,3720173,Other
AqtZ6o3iEq7oHZmjs3W3iE3vyCCtZ4X2qqS5zZiFi7KR,463.09580223004,3720174,Other
7kVDVzu9HqRi2BeBjAKrwMfAfy1DwzTwdmXY3BEHrqFa,463.09487969255997,3720175,Other
BGkpRfK8L5Yy7A8wimA4CXra2GhFxdSWK944Ap6dPKCu,463.09482008227303,3720176,Other
58bQAGriyEynnhVPKTE6CANkEW78HmktyhFfp43vyBuk,463.09460197559997,3720177,Other
9yUqY74LR4SxuwPWaHvDz1abmTQRov3cGVjVzrJAfixC,463.0941229882887,3720178,Other
3mTw27SjgMAgQWkM89PHgCofjofuCieKkHoBoibabnQT,463.0937496250741,3720179,Other
DAGD3HMnRjPqanPNksK2b94CmcF9PBpzPCfSurNAHSDk,463.09310198774995,3720180,Other
91pEbJzUJUQeP7cTsxGfwr3YKHvp7a2WseUuAogDa955,463.0930306461313,3720181,Other
B4v7E6qjBSgukAeW9HJQZZvwDgZwTDuSdU1VtZ2FzzoY,463.0928716752,3720182,Other
BnhBqykoZSvfQTbjGDRPRXugEurQxd9dtn7Zs66W29F,463.09266164226,3720183,Other
6iqfeBffNPUJjG82TzgzYMpgnvihwe3oxQz2SQYa5Z2Y,463.09223321795196,3720184,Other
FQL8T7TLA9i5gNWYuNuHK1ZQs2zEem2MATWz7iufpERp,463.0921219725,3720185,Other
CVPvYKmqboiGtSKskc8MnPz3wLrckRkfKCGzpozchvmr,463.090619983671,3720186,Other
72gATPNno2YnieixnRibuYkWCn3EGo9aBCWsL8X47Gcd,463.0900570398399,3720187,Other
6JW8Ad9XN2Fc1StakiKzriFjvG6RwDMJUUJER54DAzMP,463.08997011133596,3720188,Other
6zjTQpztfVBnpVsjZaG5T4oAnqpyBJmTQdGM1CCxJ7gL,463.08941692568993,3720189,Other
5eJ47B82aWTxkJK3nR6kFqFRQvgRQ6xbiX46V4SfuCff,463.0891676171812,3720190,Other
5SRGKCAx6Qgh6BvQf5hZoZWFpaC4roFMpfs6Ld8L6Qyx,463.08893306676,3720191,Other
4DcFok4VbVL3BVkGngrhGQGdD1ranKK4NgbRjfDg7GJe,463.08873122449603,3720192,Other
2M5YtVg9cS4kZp1Gs9qF8NoYXKDFTZRPPzzror6N1J6X,463.08871006367997,3720193,Other
GcEnkbgjaWNeStDH6AqZDN81UnYv3A6kFa1SJ8ikSgtC,463.08862152758996,3720194,Other
93HFeUimLoFp5cpMb2UB97m2PU5pu4wWGTGg1jUVBQqN,463.08815621324993,3720195,Other
71bKjFAxNw5CGi1N6G8Hgw2DVhQ1KfLHWznc6xg9iRKY,463.08807291178897,3720196,Other
8ZZ9yTsW9QKt23kXjj3E1oN5ueW2kUvEJr8YvAfT9WBb,463.08789139186,3720197,Other
9D3tZhjS27SSX2P5N4b1FxcmejRaBuDSFY1irvdLQauv,463.08728085176,3720198,Other
9DmupNwrto2wXUS8qpxBqM2dsnj8WG3gqk2fdfyEUyV8,463.08666976848997,3720199,Other
