signer,volume,volume_category
FTXnVnxAkJSFuqDk97UiR9gRhRfqzExBtmkWsWAsYnfb,72741724703,>$10M
ApfZrdm6A5yFiaJiY5biXWEzzCEXcLTN82KWuicM3Jnu,71315002620,>$10M
DLU2QuX2UXz3XkvDenncWmUxa9dmxfbwqCASThanU5S2,70533732939,>$10M
5LGuv1ojtBRm6GtLnK3LCPx6SGx7NszEpcwUUqSGnPw7,70000005794,>$10M
FVk1dX7DQxhN2YQdC6U3WAWe4sbPF2xpXJ6dbysnLc1J,69270984202,>$10M
DR7WUqBHQDLMGy7o4VgKsDHHEK54xpFpJFMUBR1v8fxX,69225142672,>$10M
EtrKVwQuGRY57yuQHAvi74Y48cFdQ8v5Lou9YA47KRWP,67686323203,>$10M
6Zg4svxy8RkquZBNpq81nudhJFemdrvosxgVARGAnoSr,67538404749,>$10M
7dZ2pPPo2q6H6eCZWTpn7HpoU8KDc1pCZCdZTFWs78c8,67003916382,>$10M
FxxjoBHsJQ9bRcQ26PrVACLpRnKJCZxTaPm3jegL2uKd,66600000030,>$10M
Bo1LKN2duEApFJjxmf9cpYFtpQ6Cgg4bLQKdGLJYwn76,65824210250,>$10M
CiFJiup3Z6VynxYmUmEQeZs9Ydpvf8hK936G71reNEg5,65569137968,>$10M
8j48qT7SN1wNcZ96gFjqhv7x85zWWRP7AyAgLNfYTZJg,65546700509,>$10M
A3bcP5W4eyKKetzMvCekFgXUjJXBsBTnbKBfi7ZJfzuy,64649447689,>$10M
AhyayEkmXbCiMhVBvqLfTYgaYsskNErhkny19UHqcn8B,64407332424,>$10M
66xji8iwbkAM5JTuywicFudSP6zijT3HJLTXsw4Sft8V,64197794182,>$10M
Gaw29uMNo8CnPYSoJPSqJEvQCztyKrAg534tZ9zY45nM,62863261261,>$10M
5AHh37ztPfj1mVmH58nFa2gDofAuDCrrByac46wgAYZG,62767188771,>$10M
2T7EWsf8SCMswSBzGNVt5tmjPJpW7XzKhaQeAZmRQqRt,62084966515,>$10M
Bs3S6FxXgYmeQznpW96QKR8oAbKWVA4ybpJzg7FkVfKU,61826209323,>$10M
GsVi6Q3FHH4zua1qnsSqZS1MYNbxgXuVtMDZJonytZiy,60874766949,>$10M
7TtupYSKLMXVmA6mQHHnKnfmH2czXnbZ4uNf3r2R1hXG,60598250740,>$10M
3CYEtQdjvCQSQUzDG4XRqRQHxvpDwpwppUFVdxnf1uY6,60435639508,>$10M
HGpF4FjCHSLVXQXd2WsUwE6bCLp8pPAYwTr3yk9exYm5,60033417444,>$10M
8Aaf7XXmsBkQHumpzZrWUztPu7ezXvue2ZDsW2aKiDFi,60000005508,>$10M
CDE2WiCWAoCzpmZvD5tFJRrTn642t1BVME49Vxtm3PYh,60000001648,>$10M
Hy2iCj8BcLniWxzc4eQ9aWTm8g1uitMwp8UaZ5JdoAxc,59383174369,>$10M
3sKAsYNZ9qJjSN2nKrRFxdLzFz1Wc47DnX4NH6TRMpuS,59333237372,>$10M
H6CTY6DxzBeFjtBcDzyQPtU2XjsXXgzB4GB2XuFyBLkJ,59284631395,>$10M
EMkRAv8g39wRwYsQ6QUhUsJuR9vMFjcnuA1A95qN2qZZ,59238298476,>$10M
2G9qoydh8TXnQ6CuigCjKRvMQrP87sXMUGe48tVBR6PJ,58965200904,>$10M
1337J7rLPVVW3ypXFKuDpRp3LzTwa8cMQukm8cqC94if,58744347996,>$10M
EbaGu7eKvPaF5LNq7H5T38jWL9YsPWV3EGahsXDHVfss,57992496149,>$10M
2QbEksucBzZ22Fttf6H7KKDuYUzEqVQBtqDZXg15MLAo,56202764707,>$10M
3S73CVdyRPFzhiu1aF3BnScgAFZwE2uuSMEbF2Ab8ob1,56029718488,>$10M
6tyDfqZ77k11knoCJEj5UrDdsJfAJQ9q4BogEDar9o3d,55722652030,>$10M
D9A9NvXsC9iLoBFp1AakJCEwzZc51UJP3XRip4nfjcWb,55500001000,>$10M
5CDpAo5qtxeZZsKU2KVeZRiavrZZSqpcq4dpBe2naXrd,55452954405,>$10M
AGxGQpWwTZBFmzJcQdETMqgwaXWpmQaNphPdsC1sZhvf,54857657299,>$10M
3QjQ2XnPhVfyzJXLTKTEgcYz1SJXLugWBqYysw2CSMza,54824851526,>$10M
J5uEBdHqRUeg916AovsA7LNPBBYQhsvTxKGTViUHPDC3,54610080371,>$10M
29RzN2mrcUehsG4ah1D1Rx8idMZcy8FzkAnZJrdtYyQ2,54099585095,>$10M
8P4aKL9ze3dxMTUANViDCinmP5YUZhj5cxDRzMGdBDco,53666487243,>$10M
Ghf9bkuiXsjAzw3SuHL1bD49zoVsc4XrsiTMfpVPmkRw,52860279752,>$10M
NMnh1gSaTYLhZjadfJ5haaj4wGSVRnTGk1gXjTgMpfe,52476386501,>$10M
8Vyqxmgsp6feBYiL5NoERuW2N71BzdxAWaY22UwJKVyy,52317539298,>$10M
2ZPCmAfhXf1k4j4CADjRBLjqEnGNnu7143Dd6Y9oreKG,52103465434,>$10M
6mi9p4SycqWBBHKGXUAQGp6jMad65nLkvxHmpQYso5ZW,51889759139,>$10M
224cu4jFRZohLQ6jr6Penj4kbHg9wy6ogvwBrppjCYGK,51754219675,>$10M
H3FzYwghmoxF1NFsBoKnqHpTydxYoibtgF7iAkoH3buF,50916204002,>$10M
41GmTuCkvqvBdRmXGy3X1vrL7Xr3B9q3aK8XcYKipVQS,50685081346,>$10M
2w6C8N61G7kho7qDxAqpErtWHuw7Mc7KnurEYL3ab6FZ,50369248081,>$10M
2tp63fUykLQeFHm6kWw8RHSNwR4s9SQb9hBfhwbFZYKN,50140048473,>$10M
AgbAdgUDShx7RzpGVCjFmA3q4G6piycypBpNgL8zTGPR,50000020987,>$10M
AT7qT8ZNsskU5N42ps19o6ykjt2w73aN7ot5zW7zLTWH,50000004495,>$10M
3C4bD6aruTtPM11WDNwyPpWuA2FkDNsictmcx1V4EFJx,49556311203,>$10M
BMwStQshae9vwz7bC8fAHB9h2e3aZ52koVyFjJyJcnuX,48669773850,>$10M
CYQDMhhvzuCmacjRsjarPdvMqHkDUX48mgTE5GfspePB,48203420491,>$10M
7mND53tYEsJgVH9TRARaziTyBKRir4PgCp76danUxYJp,48101405790,>$10M
5FWFB1AXnRs8pqSkNdyhncCimkcw5SGUSD7xTeWBd8Y7,47970747441,>$10M
B6xNpDyiasQNToj5DzhXwZSDm6jSRhxirjggKqwzWe5S,47693215828,>$10M
E4MNRP6zqgKQuoFmJEudtxwJN9f9y7gyQqi18TxmSSNK,47256232354,>$10M
HwxaCgyJX1PVhQj95uDcGEtXkNbVvKoVvmTD7nknfo5a,46920326741,>$10M
4R11R2s2Qyz34Nt32PXUcej2Q6MVKRgNs9GR7EeWCxdJ,45990053072,>$10M
49V4H9EoJ3PNb6KkSANSzSQ2dxE7Dzfvd5LkamEMHfxd,45588746349,>$10M
ErVNpuJvANEeG7r7NCLG7Z55E3CYG8koNxVuyhjQkwwg,45225746485,>$10M
AddkCFQxsb4bYpc5AHGrdGRx4C93nexjdPhLu47MwP2f,45104188390,>$10M
CuwxFsgFUdCJ52JRVafvco5PeKe1TDuKVau8DcVzk4Nb,44924485290,>$10M
2BGK6GT62EJxwzmo1C1WSBwRXb4RREv962vkk52VUfcR,44346665011,>$10M
FBAbaKg5X2Ha8rHq5UJFu8CPzqG6ojFDwAPeVJQS7DrP,43906661448,>$10M
CyKBUoxe3noZp9dEko5d43iYAG21TnxHqiL11H8Rwh3y,43800584542,>$10M
6yjsYTcfPKLhps7Kv7yQ4kYgh6JJ89EMzGDS8jEo7ibJ,43664805199,>$10M
565kodXsqoRhfUVDojipSX5hEvpTnbHDJ23iZF56YtJY,43648255953,>$10M
CKw6i81jzKxDcbwEiXtLkj1qymQZM1ZJ3cFRUTSKa6Jv,43454294417,>$10M
2U4tTDPUBcHLwmdcwRKiXKrXXpE8yJ2gfv7RhZ9bYCcm,43450901650,>$10M
2VSHFy4axi8JPDj1yBvX2fqw5ZZQXz7wuz3dEQn2NS7c,42900077362,>$10M
3uEn5MyaMDDGZhJrNiKhvSNpXkERwtigcadJsBZQAKoX,42125792385,>$10M
6wsD9j1Fj1F33c5D15vKsUcFRiBp4xTWDqmnqYUMBViM,42014063691,>$10M
HsxR6RG4ybmfBkA956gw7CHPWT5rTC7hjbwMRBvmk1aE,41934705760,>$10M
D31ggtX94GYV9r8d1ZRQa8jpoMwekLNnGsTpdFQVW3ht,41770001432,>$10M
6V5Txc5j87yefrAB4CX2r9AwpXGGrCwg6fQKbsLyrU6n,40957623620,>$10M
3tcNVXPRJU8KutXDn1oJcec4xkfiWXnj3xAanoxD7pYn,40454507521,>$10M
AKVv4VQHseMzCfJkSZ7dWMVKPP4pxAZPbKrb8qobaKRx,40434827648,>$10M
7VqapKveFwLGkup5hycheaLLkmkrfS83yLp5r8L4A7ET,40309233679,>$10M
G65iFb1dUEFgRxgkBJU294C8VZV93HXqtFXkqbZxW429,40000003496,>$10M
13gHUMGBVVza2vSAkPHv4PhZjj2rn6defGm98xYkwAZN,40000000283,>$10M
ApgfGiGV97QG4t2Nj4xUtxc8ynVpHsLRpyhbgUPmHdpG,39960004000,>$10M
5hnNp7QGcnKcDy7Jxg8XBgiegyhmUGDBCFWK74rZK3Ge,39960000080,>$10M
7kHbDgJnD1TK9t2P3We87zfvgvCiTCovTiCJAFzqMn9A,39666696427,>$10M
G4mCPYu3KueTEk8LPPRqpnx5NDiRn8QY8k4AkFjnda3Z,39201204999,>$10M
Ck88GCD4LQfh1S8pWiFNYv5PajU1EEeBiftdcNNRpjB2,38555507520,>$10M
92uBaH5VRdamaBA7BvAnA1ERVQWr2BhfUKHh72gNMfHs,38342443433,>$10M
7X1vffh3Zhq8had1swbNbKZqwioq8g3YUo5mfeNotetQ,38338123057,>$10M
2bFHS9za7B9CnPWUSKELNEfukUjeA2ARxu6WHkDW8pZg,38218243885,>$10M
3q2L67Dq3io43ypHAaLJVWagv4NCbHiehN7PyGDRD4Zv,38217778952,>$10M
6PjWY1KqwUZxL9jyUePgtagkZV9BARegCWqqYjfxKkeu,37919321138,>$10M
3Qq2okbQ9g1d5RVgP4Xo7AGN9VNVDNgA1fAFsPrEthwy,37793419355,>$10M
4UWqFCoYFuXNhJWeTagJvhCppZ9DLPFX96xoxiqcXQH2,37633951829,>$10M
9qWFiw7DorSzED7qnXoVRcypVT3t5pk8qwaTzAWH1fq2,37604607953,>$10M
6s4fLNfs5cX4n4iMhD9HdexEAAyWaMiXQZzUVgWdyLuk,37535765750,>$10M
9LU5zk2gDCy5AN2ruYrtExektmiiiJpAEa6ZzwoFDfTA,37484705981,>$10M
HSHDUKy3RGBmYDz3vXGR7W9su5tijUuvZbpxYwoAMXi4,37483586047,>$10M
9keJATrMhyYGRLWk7VGJvFmhtgvsMJCPJZt6gTdVNB66,37414555385,>$10M
